Date,Time,Visitor,PTS Visitor,Home,PTS Home
2023-11-04,7:00p,Atlanta Hawks,123.0,New Orleans Pelicans,105.0
2023-11-04,7:00p,Los Angeles Lakers,101.0,Orlando Magic,120.0
2023-11-04,8:00p,Boston Celtics,124.0,Brooklyn Nets,114.0
2023-11-04,8:00p,Sacramento Kings,89.0,Houston Rockets,107.0
2023-11-04,8:00p,Utah Jazz,95.0,Minnesota Timberwolves,123.0
2023-11-04,9:00p,Chicago Bulls,101.0,Denver Nuggets,123.0
2023-11-05,3:00p,Phoenix Suns,120.0,Detroit Pistons,106.0
2023-11-05,3:30p,Toronto Raptors,123.0,San Antonio Spurs,116.0
2023-11-05,6:00p,Golden State Warriors,104.0,Cleveland Cavaliers,115.0
2023-11-05,7:30p,Charlotte Hornets,118.0,Dallas Mavericks,124.0
2023-11-05,9:00p,Memphis Grizzlies,112.0,Portland Trail Blazers,100.0
2023-11-06,7:00p,Golden State Warriors,120.0,Detroit Pistons,109.0
2023-11-06,7:00p,San Antonio Spurs,111.0,Indiana Pacers,152.0
2023-11-06,7:00p,Dallas Mavericks,117.0,Orlando Magic,102.0
2023-11-06,7:00p,Washington Wizards,128.0,Philadelphia 76ers,146.0
2023-11-06,7:30p,Milwaukee Bucks,129.0,Brooklyn Nets,125.0
2023-11-06,7:30p,Los Angeles Lakers,107.0,Miami Heat,108.0
2023-11-06,7:30p,Los Angeles Clippers,97.0,New York Knicks,111.0
2023-11-06,8:00p,Utah Jazz,113.0,Chicago Bulls,130.0
2023-11-06,8:00p,Sacramento Kings,97.0,Houston Rockets,122.0
2023-11-06,8:00p,Boston Celtics,109.0,Minnesota Timberwolves,114.0
2023-11-06,8:00p,Atlanta Hawks,117.0,Oklahoma City Thunder,126.0
2023-11-06,9:00p,New Orleans Pelicans,116.0,Denver Nuggets,134.0
2023-11-08,7:00p,Washington Wizards,132.0,Charlotte Hornets,116.0
2023-11-08,7:00p,Utah Jazz,118.0,Indiana Pacers,134.0
2023-11-08,7:00p,Boston Celtics,103.0,Philadelphia 76ers,106.0
2023-11-08,7:30p,Los Angeles Clippers,93.0,Brooklyn Nets,100.0
2023-11-08,7:30p,San Antonio Spurs,105.0,New York Knicks,126.0
2023-11-08,8:00p,Phoenix Suns,116.0,Chicago Bulls,115.0
