Date,Time,Visitor,PTS Visitor,Home,PTS Home
2023-11-05,9:00p,Memphis Grizzlies,112,Portland Trail Blazers,100
2023-11-06,7:00p,Golden State Warriors,120,Detroit Pistons,109
2023-11-06,7:00p,San Antonio Spurs,111,Indiana Pacers,152
2023-11-06,7:00p,Dallas Mavericks,117,Orlando Magic,102
2023-11-06,7:00p,Washington Wizards,128,Philadelphia 76ers,146
2023-11-06,7:30p,Milwaukee Bucks,129,Brooklyn Nets,125
2023-11-06,7:30p,Los Angeles Lakers,107,Miami Heat,108
2023-11-06,7:30p,Los Angeles Clippers,97,New York Knicks,111
2023-11-06,8:00p,Utah Jazz,113,Chicago Bulls,130
2023-11-06,8:00p,Sacramento Kings,97,Houston Rockets,122
2023-11-06,8:00p,Boston Celtics,109,Minnesota Timberwolves,114
2023-11-06,8:00p,Atlanta Hawks,117,Oklahoma City Thunder,126
2023-11-06,9:00p,New Orleans Pelicans,116,Denver Nuggets,134
2023-11-08,7:00p,Washington Wizards,132,Charlotte Hornets,116
2023-11-08,7:00p,Utah Jazz,118,Indiana Pacers,134
2023-11-08,7:00p,Boston Celtics,103,Philadelphia 76ers,106
2023-11-08,7:30p,Los Angeles Clippers,93,Brooklyn Nets,100
2023-11-08,7:30p,San Antonio Spurs,105,New York Knicks,126
2023-11-08,8:00p,Phoenix Suns,116,Chicago Bulls,115
2023-11-08,8:00p,Los Angeles Lakers,94,Houston Rockets,128
2023-11-08,8:00p,Miami Heat,108,Memphis Grizzlies,102
2023-11-08,8:00p,Detroit Pistons,118,Milwaukee Bucks,120
2023-11-08,8:00p,New Orleans Pelicans,101,Minnesota Timberwolves,122
2023-11-08,8:00p,Cleveland Cavaliers,120,Oklahoma City Thunder,128
2023-11-08,8:30p,Toronto Raptors,127,Dallas Mavericks,116
2023-11-08,10:00p,Golden State Warriors,105,Denver Nuggets,108
2023-11-08,10:00p,Portland Trail Blazers,118,Sacramento Kings,121
2023-11-09,7:00p,Milwaukee Bucks,124,Indiana Pacers,126
2023-11-09,9:30p,Atlanta Hawks,120,Orlando Magic,119
2023-11-10,7:00p,Philadelphia 76ers,114,Detroit Pistons,106
2023-11-10,7:00p,Charlotte Hornets,124,Washington Wizards,117
2023-11-10,7:30p,Brooklyn Nets,107,Boston Celtics,121
2023-11-10,8:00p,New Orleans Pelicans,101,Houston Rockets,104
2023-11-10,8:00p,Utah Jazz,127,Memphis Grizzlies,121
2023-11-10,8:00p,Minnesota Timberwolves,117,San Antonio Spurs,110
2023-11-10,8:30p,Los Angeles Clippers,126,Dallas Mavericks,144
2023-11-10,10:00p,Los Angeles Lakers,122,Phoenix Suns,119
2023-11-10,10:00p,Oklahoma City Thunder,98,Sacramento Kings,105
2023-11-11,6:00p,Milwaukee Bucks,97,Orlando Magic,112
2023-11-11,7:00p,Toronto Raptors,94,Boston Celtics,117
2023-11-11,7:30p,Miami Heat,117,Atlanta Hawks,109
2023-11-11,8:30p,Cleveland Cavaliers,118,Golden State Warriors,110
2023-11-12,12:00p,Charlotte Hornets,107,New York Knicks,129
2023-11-12,3:00p,Washington Wizards,94,Brooklyn Nets,102
2023-11-12,3:30p,Memphis Grizzlies,105,Los Angeles Clippers,101
2023-11-12,6:00p,Indiana Pacers,126,Philadelphia 76ers,137
2023-11-12,7:00p,Detroit Pistons,108,Chicago Bulls,119
2023-11-12,7:00p,Denver Nuggets,104,Houston Rockets,107
2023-11-12,7:00p,Dallas Mavericks,136,New Orleans Pelicans,124
2023-11-12,7:00p,Miami Heat,118,San Antonio Spurs,113
2023-11-12,8:00p,Oklahoma City Thunder,111,Phoenix Suns,99
2023-11-12,8:30p,Minnesota Timberwolves,116,Golden State Warriors,110
2023-11-12,10:00p,Portland Trail Blazers,110,Los Angeles Lakers,116
2023-11-13,7:30p,New York Knicks,98,Boston Celtics,114
2023-11-13,7:30p,Washington Wizards,107,Toronto Raptors,111
2023-11-13,8:00p,Chicago Bulls,109,Milwaukee Bucks,118
2023-11-13,10:00p,Cleveland Cavaliers,120,Sacramento Kings,132
2023-11-14,7:00p,Miami Heat,111,Charlotte Hornets,105
2023-11-14,7:00p,Atlanta Hawks,126,Detroit Pistons,120
2023-11-14,7:00p,Indiana Pacers,132,Philadelphia 76ers,126
2023-11-14,7:30p,Orlando Magic,104,Brooklyn Nets,124
2023-11-14,7:30p,San Antonio Spurs,87,Oklahoma City Thunder,123
2023-11-14,8:00p,Dallas Mavericks,110,New Orleans Pelicans,131
2023-11-14,9:00p,Portland Trail Blazers,99,Utah Jazz,115
2023-11-14,10:00p,Los Angeles Clippers,108,Denver Nuggets,111
2023-11-14,10:00p,Minnesota Timberwolves,104,Golden State Warriors,101
2023-11-14,10:30p,Memphis Grizzlies,107,Los Angeles Lakers,134
2023-11-15,7:00p,Dallas Mavericks,130,Washington Wizards,117
2023-11-15,7:30p,New York Knicks,116,Atlanta Hawks,114
2023-11-15,7:30p,Boston Celtics,117,Philadelphia 76ers,107
2023-11-15,7:30p,Milwaukee Bucks,128,Toronto Raptors,112
2023-11-15,8:00p,Orlando Magic,96,Chicago Bulls,94
2023-11-15,9:00p,Minnesota Timberwolves,115,Phoenix Suns,133
2023-11-15,10:00p,Sacramento Kings,125,Los Angeles Lakers,110
2023-11-15,10:00p,Cleveland Cavaliers,109,Portland Trail Blazers,95
2023-11-16,7:30p,Brooklyn Nets,115,Miami Heat,122
2023-11-16,10:00p,Oklahoma City Thunder,128,Golden State Warriors,109
2023-11-17,7:00p,Milwaukee Bucks,130,Charlotte Hornets,99
2023-11-17,7:00p,New York Knicks,120,Washington Wizards,99
2023-11-17,7:30p,Philadelphia 76ers,126,Atlanta Hawks,116
2023-11-17,7:30p,Detroit Pistons,100,Cleveland Cavaliers,108
2023-11-17,7:30p,Sacramento Kings,129,San Antonio Spurs,120
2023-11-17,7:30p,Boston Celtics,108,Toronto Raptors,105
2023-11-17,8:00p,Orlando Magic,103,Chicago Bulls,97
2023-11-17,8:00p,Denver Nuggets,110,New Orleans Pelicans,115
2023-11-17,10:00p,Los Angeles Lakers,107,Portland Trail Blazers,95
2023-11-17,10:00p,Phoenix Suns,131,Utah Jazz,128
2023-11-17,10:30p,Houston Rockets,100,Los Angeles Clippers,106
2023-11-18,6:00p,New York Knicks,122,Charlotte Hornets,108
2023-11-18,7:00p,Minnesota Timberwolves,121,New Orleans Pelicans,120
2023-11-18,8:00p,Miami Heat,97,Chicago Bulls,102
2023-11-18,8:00p,Dallas Mavericks,125,Milwaukee Bucks,132
2023-11-18,8:00p,Memphis Grizzlies,120,San Antonio Spurs,108
2023-11-18,8:30p,Oklahoma City Thunder,130,Golden State Warriors,123
2023-11-19,3:00p,Philadelphia 76ers,121,Brooklyn Nets,99
2023-11-19,4:00p,Detroit Pistons,113,Toronto Raptors,142
2023-11-19,5:00p,Orlando Magic,128,Indiana Pacers,116
2023-11-19,6:00p,Denver Nuggets,109,Cleveland Cavaliers,121
2023-11-19,7:30p,Sacramento Kings,129,Dallas Mavericks,113
2023-11-19,8:00p,Boston Celtics,102,Memphis Grizzlies,100
2023-11-19,8:00p,Phoenix Suns,140,Utah Jazz,137
2023-11-19,9:00p,Oklahoma City Thunder,134,Portland Trail Blazers,91
2023-11-19,9:30p,Houston Rockets,104,Los Angeles Lakers,105
2023-11-20,7:00p,Boston Celtics,118,Charlotte Hornets,121
2023-11-20,7:00p,Denver Nuggets,107,Detroit Pistons,103
2023-11-20,7:00p,Milwaukee Bucks,142,Washington Wizards,129
2023-11-20,8:00p,Miami Heat,118,Chicago Bulls,100
2023-11-20,8:00p,New York Knicks,100,Minnesota Timberwolves,117
2023-11-20,8:00p,Sacramento Kings,93,New Orleans Pelicans,129
2023-11-20,8:00p,Los Angeles Clippers,124,San Antonio Spurs,99
2023-11-20,10:00p,Houston Rockets,116,Golden State Warriors,121
2023-11-21,7:00p,Toronto Raptors,107,Orlando Magic,126
2023-11-21,7:30p,Indiana Pacers,157,Atlanta Hawks,152
2023-11-21,7:30p,Cleveland Cavaliers,122,Philadelphia 76ers,119
2023-11-21,9:00p,Portland Trail Blazers,107,Phoenix Suns,120
2023-11-21,10:00p,Utah Jazz,99,Los Angeles Lakers,131
2023-11-22,7:00p,Washington Wizards,114,Charlotte Hornets,117
2023-11-22,7:00p,Denver Nuggets,119,Orlando Magic,124
2023-11-22,7:30p,Brooklyn Nets,145,Atlanta Hawks,147
2023-11-22,7:30p,Milwaukee Bucks,116,Boston Celtics,119
2023-11-22,7:30p,Miami Heat,129,Cleveland Cavaliers,96
2023-11-22,7:30p,Toronto Raptors,132,Indiana Pacers,131
2023-11-22,8:00p,Memphis Grizzlies,91,Houston Rockets,111
2023-11-22,8:00p,Philadelphia 76ers,99,Minnesota Timberwolves,112
2023-11-22,8:00p,Sacramento Kings,112,New Orleans Pelicans,117
2023-11-22,8:00p,Chicago Bulls,102,Oklahoma City Thunder,116
2023-11-22,8:00p,Los Angeles Clippers,109,San Antonio Spurs,102
2023-11-22,10:00p,Golden State Warriors,115,Phoenix Suns,123
2023-11-22,10:00p,Utah Jazz,105,Portland Trail Blazers,121
2023-11-22,10:30p,Dallas Mavericks,104,Los Angeles Lakers,101
2023-11-24,2:30p,Boston Celtics,96,Orlando Magic,113
2023-11-24,5:00p,Phoenix Suns,110,Memphis Grizzlies,89
2023-11-24,7:30p,Miami Heat,98,New York Knicks,100
2023-11-24,7:30p,Chicago Bulls,108,Toronto Raptors,121
2023-11-24,8:00p,Denver Nuggets,86,Houston Rockets,105
2023-11-24,8:00p,Detroit Pistons,113,Indiana Pacers,136
2023-11-24,8:00p,Washington Wizards,128,Milwaukee Bucks,131
2023-11-24,8:00p,Sacramento Kings,124,Minnesota Timberwolves,111
2023-11-24,10:00p,San Antonio Spurs,112,Golden State Warriors,118
2023-11-24,10:30p,New Orleans Pelicans,116,Los Angeles Clippers,106
2023-11-25,5:00p,Philadelphia 76ers,127,Oklahoma City Thunder,123
2023-11-25,6:00p,Miami Heat,97,Brooklyn Nets,112
2023-11-25,7:00p,Atlanta Hawks,136,Washington Wizards,108
2023-11-25,7:30p,Los Angeles Lakers,121,Cleveland Cavaliers,115
2023-11-25,9:30p,New Orleans Pelicans,100,Utah Jazz,105
2023-11-25,10:30p,Dallas Mavericks,88,Los Angeles Clippers,107
2023-11-26,3:30p,Portland Trail Blazers,102,Milwaukee Bucks,108
2023-11-26,6:00p,Atlanta Hawks,103,Boston Celtics,113
2023-11-26,6:00p,Minnesota Timberwolves,119,Memphis Grizzlies,97
